Month,Year,P,D,E,CPI,Date.Frac,GS10,RP,RD,RE,PE10
1,1871,4.44,0.26,0.4,12.46,1871.04,5.32,84.43839486,4.94,7.61,NA
2,1871,4.5,0.26,0.4,12.84,1871.13,5.32,83.04672897,4.80,7.38,NA
3,1871,4.61,0.26,0.4,13.03,1871.21,5.33,83.8361934,4.73,7.27,NA
4,1871,4.74,0.26,0.4,12.56,1871.29,5.33,89.42598726,4.91,7.55,NA
5,1871,4.86,0.26,0.4,12.27,1871.38,5.33,93.85701711,5.02,7.72,NA
6,1871,4.82,0.26,0.4,12.08,1871.46,5.34,94.54860927,5.10,7.85,NA
7,1871,4.73,0.26,0.4,12.08,1871.54,5.34,92.78317881,5.10,7.85,NA
8,1871,4.79,0.26,0.4,11.89,1871.63,5.34,95.46159798,5.18,7.97,NA
9,1871,4.84,0.26,0.4,12.18,1871.71,5.35,94.16144499,5.06,7.78,NA
10,1871,4.59,0.26,0.4,12.37,1871.79,5.35,87.9261439,4.98,7.66,NA
11,1871,4.64,0.26,0.4,12.37,1871.88,5.35,88.88394503,4.98,7.66,NA
12,1871,4.74,0.26,0.4,12.65,1871.96,5.36,88.78975494,4.87,7.49,NA
1,1872,4.86,0.26,0.4,12.65,1872.04,5.36,91.03759684,4.87,7.49,NA
2,1872,4.88,0.27,0.41,12.65,1872.13,5.38,91.41223715,5.06,7.68,NA
3,1872,5.04,0.27,0.41,12.84,1872.21,5.4,93.01233645,4.98,7.57,NA
4,1872,5.18,0.27,0.41,13.13,1872.29,5.42,93.48460015,4.87,7.40,NA
5,1872,5.18,0.28,0.41,13.13,1872.38,5.43,93.48460015,5.05,7.40,NA
6,1872,5.13,0.28,0.42,13.03,1872.46,5.45,93.29277053,5.09,7.64,NA
7,1872,5.1,0.28,0.42,12.84,1872.54,5.47,94.11962617,5.17,7.75,NA
8,1872,5.04,0.29,0.42,12.94,1872.63,5.49,92.29353941,5.31,7.69,NA
9,1872,4.95,0.29,0.42,13.03,1872.71,5.51,90.01933998,5.27,7.64,NA
10,1872,4.97,0.29,0.43,12.75,1872.79,5.53,92.36793725,5.39,7.99,NA
11,1872,4.95,0.3,0.43,13.13,1872.88,5.54,89.33373953,5.41,7.76,NA
12,1872,5.07,0.3,0.43,12.94,1872.96,5.56,92.84290572,5.49,7.87,NA
1,1873,5.11,0.3,0.43,12.94,1873.04,5.58,93.57539413,5.49,7.87,NA
2,1873,5.15,0.31,0.44,13.23,1873.13,5.57,92.24066515,5.55,7.88,NA
3,1873,5.11,0.31,0.44,13.23,1873.21,5.56,91.5242328,5.55,7.88,NA
4,1873,5.04,0.31,0.44,13.23,1873.29,5.55,90.27047619,5.55,7.88,NA
5,1873,5.05,0.31,0.44,12.94,1873.38,5.54,92.47666151,5.68,8.06,NA
6,1873,4.98,0.32,0.45,12.56,1873.46,5.53,93.95388535,6.04,8.49,NA
7,1873,4.97,0.32,0.45,12.56,1873.54,5.53,93.76522293,6.04,8.49,NA
8,1873,4.97,0.32,0.45,12.56,1873.63,5.52,93.76522293,6.04,8.49,NA
9,1873,4.59,0.32,0.45,12.56,1873.71,5.51,86.59605096,6.04,8.49,NA
10,1873,4.19,0.33,0.46,12.27,1873.79,5.5,80.91788101,6.37,8.88,NA
11,1873,4.04,0.33,0.46,11.89,1873.88,5.49,80.51458368,6.58,9.17,NA
12,1873,4.42,0.33,0.46,12.18,1873.96,5.48,85.99041051,6.42,8.95,NA
1,1874,4.66,0.33,0.46,12.37,1874.04,5.47,89.26706548,6.32,8.81,NA
2,1874,4.8,0.33,0.46,12.37,1874.13,5.44,91.94890865,6.32,8.81,NA
3,1874,4.73,0.33,0.46,12.37,1874.21,5.4,90.60798707,6.32,8.81,NA
4,1874,4.6,0.33,0.46,12.18,1874.29,5.37,89.49228243,6.42,8.95,NA
5,1874,4.48,0.33,0.46,12.08,1874.38,5.34,87.8792053,6.47,9.02,NA
6,1874,4.46,0.33,0.46,11.8,1874.46,5.3,89.56284746,6.63,9.24,NA
7,1874,4.46,0.33,0.46,11.89,1874.54,5.27,88.88491169,6.58,9.17,NA
8,1874,4.47,0.33,0.46,11.8,1874.63,5.24,89.76366102,6.63,9.24,NA
9,1874,4.54,0.33,0.46,11.8,1874.71,5.2,91.16935593,6.63,9.24,NA
10,1874,4.53,0.33,0.46,11.61,1874.79,5.17,92.45726098,6.74,9.39,NA
11,1874,4.57,0.33,0.46,11.51,1874.88,5.14,94.08403128,6.79,9.47,NA
12,1874,4.54,0.33,0.46,11.51,1874.96,5.1,93.46641182,6.79,9.47,NA
1,1875,4.54,0.33,0.45,11.51,1875.04,5.07,93.46641182,6.79,9.26,NA
2,1875,4.53,0.33,0.44,11.51,1875.13,5.03,93.26053866,6.79,9.06,NA
3,1875,4.59,0.32,0.44,11.51,1875.21,4.99,94.49577758,6.59,9.06,NA
4,1875,4.65,0.32,0.43,11.61,1875.29,4.95,94.90645995,6.53,8.78,NA
5,1875,4.47,0.32,0.42,11.32,1875.38,4.91,93.56989399,6.70,8.79,NA
