Date,Price,Ops.EPS,Rep.EPS,Ops.PE,Rep.PE,Ops.Earnings,Rep.Earnings,DPS,SPS,BVPS,CXPS,Type
12/31/2017,,36.84,33.53,,,140.32,128.36,,,,,Estimate
9/30/2017,,36.08,33.12,,,136.15,125.45,,,,,Estimate
6/30/2017,,34.74,32.11,,,131.78,123.04,,,,,Estimate
3/31/2017,,32.66,29.59,,,127.04,119.17,,,,,Estimate
12/31/2016,,32.67,30.63,,,121.88,115.05,,,,,Estimate
09/30/2016,,31.71,30.71,,,117.44,110.18,,,,,Estimate
06/30/2016,,30.00,28.25,,,111.17,102.69,,,,,Estimate
03/31/2016,,27.50,25.46,,,107.31,97.24,,,,,Estimate
12/31/2015,2043.94,28.23,25.76,,,105.62,93.59,11.35,,,,Estimate
09/30/2015,1920.03,25.44,23.22,18.44,21.18,104.14,90.66,10.79,283.72,744.68,16.49,Actual
06/30/2015,2063.11,26.14,22.80,19.05,21.74,108.30,94.91,10.69,281.35,735.90,16.11,Actual
03/31/2015,2067.89,25.81,21.81,18.55,20.84,111.50,99.25,10.55,273.19,729.29,15.94,Actual
12/31/2014,2058.90,26.75,22.83,18.22,20.12,113.01,102.31,10.47,297.91,726.96,19.84,Actual
09/30/2014,1972.29,29.60,27.47,17.22,18.61,114.51,105.96,10.02,293.09,736.78,17.85,Actual
06/30/2014,1960.23,29.34,27.14,17.53,19.01,111.83,103.12,9.76,292.35,733.84,18.01,Actual
03/31/2014 ,1872.34,27.32,24.87,17.20,18.57,108.85,100.85,9.19,279.96,717.81,16.41,Actual
12/31/2013,1848.36,28.25,26.48,17.23,18.45,107.30,100.20,9.52,289.46,715.84,18.46,Actual
09/30/2013 ,1681.55,26.92,24.63,16.45,17.82,102.20,94.37,8.91,279.41,693.22,16.64,Actual
06/30/2013,1606.28,26.36,24.87,16.18,17.66,99.28,90.95,8.61,277.17,679.15,16.25,Actual
03/31/2013,1569.19,25.77,24.22,15.96,17.89,98.35,87.70,7.95,270.77,679.09,14.37,Actual
