EPS,Index,Sector,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4
Operating,500,Index,16.62,17.02,15.96,-0.09,10.11,13.81,15.78,17.16,19.38,20.90,21.56,21.93,22.56,24.86,25.29,23.73,24.24,25.43,24.00,23.15,25.77,26.36,26.92,28.25,27.32,29.34,29.60,26.75,25.81,26.14,25.44,28.23,27.50,30.00,31.71,32.67
Operating,500,Consumer Discretionary,2.61,1.68,1.36,-0.37,0.38,2.77,3.49,4.32,4.09,4.63,4.43,5.05,4.67,5.38,5.18,5.58,4.91,5.30,5.73,6.33,5.55,6.35,6.53,6.69,6.15,6.95,6.90,7.70,6.41,7.61,8.08,8.32,7.29,8.63,9.04,9.16
Operating,500,Consumer Staples,4.04,4.27,4.66,4.20,3.90,4.62,4.88,4.96,4.37,4.81,5.01,5.26,4.92,5.39,5.51,5.56,5.06,5.48,5.73,6.33,5.43,5.78,6.17,6.57,5.55,6.32,6.44,5.85,5.71,6.38,6.23,6.08,5.78,6.38,6.78,6.73
Operating,500,Energy,12.22,13.54,20.73,4.44,0.44,4.57,5.93,6.32,8.42,9.29,8.39,9.10,10.81,12.98,14.11,10.04,11.52,12.21,10.13,10.45,11.18,11.49,10.26,9.42,11.70,11.94,12.56,6.74,-0.48,-0.51,-4.52,2.42,1.47,2.51,3.27,3.26
Operating,500,Financials,-0.80,-1.05,-5.46,-13.93,0.50,1.01,1.35,1.54,3.66,3.81,3.92,3.43,3.75,3.95,4.48,4.05,3.93,4.38,4.27,3.86,5.21,5.44,5.15,5.27,5.50,5.84,5.70,4.92,6.18,5.82,5.97,5.43,5.69,5.94,5.99,6.18
Operating,500,Health Care,6.19,6.34,6.28,5.66,6.61,6.60,6.92,6.27,7.08,7.23,7.44,7.15,7.70,8.27,7.70,7.40,8.35,8.02,7.93,7.23,8.14,8.19,8.27,7.83,8.61,9.54,8.98,8.65,10.15,9.68,9.59,10.98,12.41,13.02,13.31,13.23
Operating,500,Industrials,5.12,5.97,5.46,4.63,3.08,3.75,3.24,4.15,3.71,4.61,4.85,5.24,4.56,5.54,5.44,5.42,5.48,6.17,5.75,4.87,5.48,6.25,6.52,6.63,5.86,7.12,7.07,6.77,6.21,6.96,7.73,6.91,6.09,7.56,8.39,7.70
Operating,500,Information Technology,4.44,4.56,4.39,2.73,2.90,3.62,4.52,6.44,5.54,6.11,6.70,7.90,7.18,7.69,7.32,9.26,8.27,8.14,6.90,9.38,8.20,7.50,8.07,9.81,8.23,8.52,8.66,11.59,9.15,8.86,8.98,11.51,9.61,10.08,10.75,13.58
Operating,500,Materials,4.49,4.73,3.43,-4.56,1.04,1.67,2.27,2.11,3.20,3.47,3.25,3.42,4.96,5.44,3.92,1.87,4.23,4.46,3.19,2.79,4.48,3.14,3.38,3.03,4.43,4.49,3.91,3.02,3.09,3.79,1.25,0.66,4.03,4.80,3.97,3.92
Operating,500,Telecommunications,2.11,2.25,1.98,1.87,1.95,1.88,1.77,1.62,1.91,1.98,1.84,1.63,1.91,1.78,1.95,1.21,1.90,2.29,2.09,-2.90,2.10,2.16,2.49,5.58,2.82,2.92,2.75,-1.28,2.90,2.94,2.86,3.49,3.08,3.11,3.13,2.87
Operating,500,Utilities,3.20,2.67,4.01,2.37,2.89,2.52,3.81,2.28,3.41,2.66,4.11,2.16,3.15,2.87,4.13,2.32,2.98,2.68,3.66,2.65,2.54,2.88,4.13,2.58,3.32,2.64,4.52,2.74,3.84,2.97,4.28,2.55,3.83,3.07,4.45,2.86
Operating,400,Index,10.12,10.71,10.01,-0.79,2.45,7.52,8.50,9.12,9.22,10.93,11.82,11.94,10.65,13.07,13.23,13.36,12.84,13.74,14.13,13.82,13.29,15.00,15.60,16.11,13.66,16.76,13.09,15.36,14.34,14.83,15.81,18.20,16.82,19.78,20.75,21.31
Operating,400,Consumer Discretionary,2.46,2.98,0.34,0.61,2.00,2.57,3.29,4.28,3.85,4.43,4.40,5.35,3.66,4.66,4.41,7.01,5.10,5.66,5.88,7.76,5.56,6.57,6.58,8.17,4.66,7.07,7.20,11.27,6.15,7.60,8.52,11.13,7.12,9.44,10.10,12.99
Operating,400,Consumer Staples,6.21,7.13,8.51,6.83,5.45,7.19,8.31,10.23,7.59,9.47,10.41,11.83,11.55,11.24,11.37,11.93,10.97,11.78,14.07,14.53,9.83,12.61,16.50,16.34,14.76,12.73,14.02,14.95,17.03,18.88,18.30,18.39,17.57,19.72,18.83,19.89
Operating,400,Energy,13.40,13.38,30.21,-40.02,-20.59,4.36,6.91,4.12,10.60,7.92,8.12,4.70,6.91,12.87,17.83,9.10,10.90,7.93,5.54,6.10,8.54,11.77,6.18,6.50,8.62,9.13,13.64,-3.72,-2.97,-20.80,-9.66,2.65,-1.90,-0.59,-0.19,-1.32
Operating,400,Financials,5.51,2.66,0.51,-2.58,2.57,3.79,2.96,3.55,3.40,4.59,4.95,6.00,3.49,6.20,4.47,6.20,6.76,6.26,7.22,7.38,7.52,7.10,7.28,8.88,8.12,9.27,9.67,9.32,8.81,9.56,8.76,9.20,8.70,9.68,9.73,10.55
Operating,400,Health Care,4.04,6.43,4.46,4.55,0.92,4.59,4.89,5.36,4.51,5.11,5.21,5.80,5.28,6.57,8.50,8.16,6.86,7.55,7.53,7.19,7.23,8.36,6.85,8.16,8.64,10.01,9.31,10.62,10.03,12.87,13.95,14.55,14.31,16.59,16.43,17.09
Operating,400,Industrials,5.03,6.18,6.29,3.90,2.56,3.97,4.29,4.36,4.14,5.87,6.16,5.55,5.37,6.88,7.55,7.37,6.83,8.19,8.70,7.32,7.22,9.65,9.92,8.86,7.60,10.53,10.78,7.32,7.95,11.19,10.87,9.72,9.18,11.89,12.09,10.74
Operating,400,Information Technology,9.31,10.54,8.89,-2.08,1.61,6.65,6.84,10.75,9.70,12.08,13.69,16.57,14.17,14.66,12.98,12.18,10.15,13.95,11.25,12.07,9.81,11.06,12.24,14.62,7.46,12.41,12.87,14.58,9.53,12.05,11.77,17.81,18.38,22.19,23.36,25.40
Operating,400,Materials,3.93,5.73,4.52,0.99,1.29,2.59,2.89,2.55,2.36,4.65,4.07,3.11,4.29,4.77,3.34,3.41,4.53,4.83,3.59,3.32,4.15,5.12,6.14,4.37,4.22,5.32,-11.53,1.61,4.57,4.52,3.66,2.94,3.86,5.20,5.36,4.62
Operating,400,Telecommunications,3.48,4.03,4.34,4.37,3.16,3.20,2.35,1.38,2.03,6.84,1.87,1.49,1.51,2.69,2.49,0.54,2.08,1.86,1.49,0.08,0.58,0.31,1.12,-3.70,-0.90,-0.20,0.00,-2.81,14.58,2.18,4.26,-2.73,1.36,2.04,0.50,-2.81
